Result of k-means clustering...
Object [0] = 2;
Object [1] = 2;
Object [2] = 2;
Object [3] = 2;
Object [4] = 2;
Object [5] = 2;
Object [6] = 2;
Object [7] = 2;
Object [8] = 2;
Object [9] = 2;
Object [10] = 2;
Object [11] = 2;
Object [12] = 2;
Object [13] = 2;
Object [14] = 2;
Object [15] = 2;
Object [16] = 2;
Object [17] = 2;
Object [18] = 2;
Object [19] = 2;
Object [20] = 2;
Object [21] = 2;
Object [22] = 2;
Object [23] = 2;
Object [24] = 2;
Object [25] = 2;
Object [26] = 2;
Object [27] = 2;
Object [28] = 2;
Object [29] = 2;
Object [30] = 2;
Object [31] = 2;
Object [32] = 2;
Object [33] = 2;
Object [34] = 2;
Object [35] = 2;
Object [36] = 2;
Object [37] = 2;
Object [38] = 2;
Object [39] = 2;
Object [40] = 2;
Object [41] = 2;
Object [42] = 2;
Object [43] = 2;
Object [44] = 2;
Object [45] = 2;
Object [46] = 2;
Object [47] = 2;
Object [48] = 2;
Object [49] = 2;
Object [50] = 2;
Object [51] = 2;
Object [52] = 2;
Object [53] = 2;
Object [54] = 2;
Object [55] = 2;
Object [56] = 2;
Object [57] = 2;
Object [58] = 2;
Object [59] = 2;
Object [60] = 2;
Object [61] = 2;
Object [62] = 2;
Object [63] = 2;
Object [64] = 2;
Object [65] = 2;
Object [66] = 2;
Object [67] = 2;
Object [68] = 2;
Object [69] = 2;
Object [70] = 2;
Object [71] = 1;
Object [72] = 1;
Object [73] = 1;
Object [74] = 1;
Object [75] = 1;
Object [76] = 1;
Object [77] = 1;
Object [78] = 1;
Object [79] = 1;
Object [80] = 1;
Object [81] = 1;
Object [82] = 1;
Object [83] = 1;
Object [84] = 1;
Object [85] = 1;
Object [86] = 1;
Object [87] = 1;
Object [88] = 1;
Object [89] = 1;
Object [90] = 1;
Object [91] = 1;
Object [92] = 1;
Object [93] = 1;
Object [94] = 1;
Object [95] = 1;
Object [96] = 1;
Object [97] = 1;
Object [98] = 1;
Object [99] = 1;
Object [100] = 1;
Object [101] = 1;
Object [102] = 1;
Object [103] = 1;
Object [104] = 1;
Object [105] = 1;
Object [106] = 1;
Object [107] = 1;
Object [108] = 1;
Object [109] = 1;
Object [110] = 1;
Object [111] = 1;
Object [112] = 1;
Object [113] = 1;
Object [114] = 1;
Object [115] = 1;
Object [116] = 1;
Object [117] = 1;
Object [118] = 1;
Object [119] = 1;
Object [120] = 1;
Object [121] = 1;
Object [122] = 1;
Object [123] = 1;
Object [124] = 1;
Object [125] = 1;
Object [126] = 1;
Object [127] = 1;
Object [128] = 1;
Object [129] = 1;
Object [130] = 1;
Object [131] = 1;
Object [132] = 1;
Object [133] = 1;
Object [134] = 1;
Object [135] = 1;
Object [136] = 1;
Object [137] = 1;
Object [138] = 1;
Object [139] = 1;
Object [140] = 1;
Object [141] = 1;
Object [142] = 1;
Object [143] = 0;
Object [144] = 0;
Object [145] = 0;
Object [146] = 0;
Object [147] = 0;
Object [148] = 0;
Object [149] = 0;
Object [150] = 0;
Object [151] = 0;
Object [152] = 0;
Object [153] = 0;
Object [154] = 0;
Object [155] = 0;
Object [156] = 0;
Object [157] = 0;
Object [158] = 0;
Object [159] = 0;
Object [160] = 0;
Object [161] = 0;
Object [162] = 0;
Object [163] = 0;
Object [164] = 0;
Object [165] = 0;
Object [166] = 0;
Object [167] = 0;
Object [168] = 0;
Object [169] = 0;
Object [170] = 0;
Object [171] = 0;
Object [172] = 0;
Object [173] = 0;
Object [174] = 0;
Object [175] = 0;
Object [176] = 0;
Object [177] = 0;
Object [178] = 0;
Object [179] = 0;
Object [180] = 0;
Object [181] = 0;
Object [182] = 0;
Object [183] = 0;
Object [184] = 0;
Object [185] = 0;
Object [186] = 0;
Object [187] = 0;
Object [188] = 0;
Object [189] = 0;
Object [190] = 0;
Object [191] = 0;
Object [192] = 0;
Object [193] = 0;
Object [194] = 0;
Object [195] = 0;
Object [196] = 0;
Object [197] = 0;
Object [198] = 0;
Object [199] = 0;
Object [200] = 0;
Object [201] = 0;
Object [202] = 0;
Object [203] = 0;
Object [204] = 0;
Object [205] = 0;
Object [206] = 0;
Object [207] = 0;
Object [208] = 0;
Object [209] = 0;
Object [210] = 0;
Object [211] = 0;
Object [212] = 0;
Object [213] = 0;
Object [214] = 0;
Object [215] = 0;
Object [216] = 4;
Object [217] = 4;
Object [218] = 4;
Object [219] = 4;
Object [220] = 4;
Object [221] = 4;
Object [222] = 4;
Object [223] = 4;
Object [224] = 4;
Object [225] = 4;
Object [226] = 4;
Object [227] = 4;
Object [228] = 4;
Object [229] = 4;
Object [230] = 4;
Object [231] = 4;
Object [232] = 4;
Object [233] = 4;
Object [234] = 4;
Object [235] = 4;
Object [236] = 4;
Object [237] = 4;
Object [238] = 4;
Object [239] = 4;
Object [240] = 4;
Object [241] = 4;
Object [242] = 4;
Object [243] = 4;
Object [244] = 4;
Object [245] = 4;
Object [246] = 4;
Object [247] = 4;
Object [248] = 4;
Object [249] = 4;
Object [250] = 4;
Object [251] = 4;
Object [252] = 4;
Object [253] = 4;
Object [254] = 4;
Object [255] = 4;
Object [256] = 4;
Object [257] = 4;
Object [258] = 4;
Object [259] = 4;
Object [260] = 4;
Object [261] = 4;
Object [262] = 4;
Object [263] = 4;
Object [264] = 4;
Object [265] = 4;
Object [266] = 4;
Object [267] = 4;
Object [268] = 4;
Object [269] = 4;
Object [270] = 4;
Object [271] = 4;
Object [272] = 4;
Object [273] = 4;
Object [274] = 4;
Object [275] = 4;
Object [276] = 4;
Object [277] = 4;
Object [278] = 4;
Object [279] = 4;
Object [280] = 4;
Object [281] = 4;
Object [282] = 4;
Object [283] = 4;
Object [284] = 4;
Object [285] = 4;
Object [286] = 4;
Object [287] = 4;
Object [288] = 4;
Object [289] = 4;
Object [290] = 3;
Object [291] = 3;
Object [292] = 3;
Object [293] = 3;
Object [294] = 3;
Object [295] = 3;
Object [296] = 3;
Object [297] = 3;
Object [298] = 3;
Object [299] = 3;
Object [300] = 3;
Object [301] = 3;
Object [302] = 3;
Object [303] = 3;
Object [304] = 3;
Object [305] = 3;
Object [306] = 3;
Object [307] = 3;
Object [308] = 3;
Object [309] = 3;
